match_id,match_date,event_name,team_1,team_2,player_id,player_name,adr,dpr,kast,kpr,multi_kill,rating_3_0,rating_3_0_ct_rating,rating_3_0_t_rating,round_swing,firepower_combined_score,entrying_combined_score,trading_combined_score,opening_combined_score,clutching_combined_score,sniping_combined_score,utility_combined_score
2393245,2026-04-19,IEM Rio 2026,Vitality,Spirit,7322,apex,73.8,0.66,73.8,0.62,14.7,1.01,1.07,0.95,-0.33,41.0,71.0,28.0,51.0,29.0,0.0,97.0
2393245,2026-04-19,IEM Rio 2026,Vitality,Spirit,16693,flamez,80.1,0.65,76.8,0.77,20.1,1.25,1.21,1.28,2.01,89.0,91.0,61.0,90.0,41.0,0.0,67.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,11893,zywoo,87.1,0.53,78.2,0.88,24.0,1.41,1.42,1.39,4.47,99.0,41.0,73.0,89.0,85.0,92.0,72.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,7322,apex,73.1,0.67,73.8,0.6,13.7,0.99,1.05,0.94,-0.54,33.0,74.0,27.0,48.0,30.0,0.0,97.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,16693,flamez,81.8,0.66,76.6,0.79,20.4,1.26,1.2,1.32,2.07,92.0,88.0,62.0,89.0,43.0,0.0,69.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,11816,ropz,74.5,0.56,78.1,0.71,17.8,1.14,1.15,1.12,1.11,68.0,16.0,42.0,38.0,68.0,6.0,29.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,18462,mezii,67.2,0.6,77.3,0.6,13.1,1.04,1.11,0.97,0.5,21.0,88.0,47.0,28.0,48.0,0.0,69.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,18987,b1t,74.0,0.63,73.6,0.68,16.3,1.11,1.11,1.11,1.11,57.0,38.0,70.0,32.0,74.0,2.0,50.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,20127,w0nderful,69.0,0.6,74.1,0.71,16.9,1.06,1.03,1.09,0.67,56.0,26.0,80.0,52.0,72.0,92.0,55.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,9816,aleksib,61.1,0.65,72.0,0.52,10.4,0.9,0.93,0.88,-1.58,5.0,87.0,45.0,10.0,50.0,0.0,90.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,22673,makazze,83.3,0.7,74.4,0.76,18.5,1.18,1.2,1.15,1.55,88.0,89.0,48.0,85.0,35.0,0.0,52.0
2393241,2026-04-17,IEM Rio 2026,Vitality,Natus Vincere,14759,im,78.7,0.68,72.6,0.7,18.8,1.06,1.05,1.06,-0.02,76.0,69.0,49.0,80.0,30.0,0.0,35.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,11816,ropz,74.9,0.56,78.0,0.71,18.0,1.14,1.15,1.13,1.16,70.0,14.0,41.0,37.0,70.0,6.0,30.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,16693,flamez,81.7,0.65,76.3,0.79,20.4,1.27,1.21,1.32,2.07,92.0,85.0,63.0,88.0,44.0,0.0,70.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,11893,zywoo,86.1,0.53,78.0,0.87,23.7,1.39,1.42,1.37,4.35,98.0,42.0,73.0,87.0,85.0,91.0,72.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,7322,apex,72.2,0.68,73.3,0.59,13.4,0.97,1.04,0.91,-0.74,29.0,75.0,26.0,47.0,31.0,0.0,97.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,18462,mezii,67.8,0.6,77.4,0.6,13.2,1.05,1.13,0.97,0.55,23.0,89.0,48.0,29.0,50.0,0.0,69.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,19230,m0nesy,81.6,0.57,77.3,0.81,20.6,1.28,1.36,1.21,3.13,93.0,22.0,53.0,89.0,43.0,93.0,70.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,24177,kyousuke,83.0,0.69,73.5,0.78,20.7,1.17,1.18,1.17,0.95,93.0,81.0,83.0,84.0,23.0,3.0,30.0
2393236,2026-04-15,IEM Rio 2026,Vitality,Falcons,12018,teses,66.7,0.61,73.4,0.6,14.5,1.04,1.13,0.95,0.53,26.0,53.0,18.0,25.0,82.0,0.0,55.0
